Edad;Unidad;Sexo;Periodo;Total
De 45 a 49 años;Valor absoluto;Ambos sexos;2018T2;448,1
De 45 a 49 años;Valor absoluto;Ambos sexos;2018T1;463,0
De 45 a 49 años;Valor absoluto;Ambos sexos;2017T4;460,8
De 45 a 49 años;Valor absoluto;Ambos sexos;2017T3;451,6
De 45 a 49 años;Valor absoluto;Ambos sexos;2017T2;480,0
De 45 a 49 años;Valor absoluto;Ambos sexos;2017T1;544,4
De 45 a 49 años;Valor absoluto;Ambos sexos;2016T4;514,4
De 45 a 49 años;Valor absoluto;Ambos sexos;2016T3;530,9
De 45 a 49 años;Valor absoluto;Ambos sexos;2016T2;534,6
De 45 a 49 años;Valor absoluto;Ambos sexos;2016T1;597,5
De 45 a 49 años;Valor absoluto;Ambos sexos;2015T4;598,2
De 45 a 49 años;Valor absoluto;Ambos sexos;2015T3;600,3
De 45 a 49 años;Valor absoluto;Ambos sexos;2015T2;649,4
De 45 a 49 años;Valor absoluto;Ambos sexos;2015T1;685,3
De 45 a 49 años;Valor absoluto;Ambos sexos;2014T4;650,5
De 45 a 49 años;Valor absoluto;Ambos sexos;2014T3;654,6
De 45 a 49 años;Valor absoluto;Ambos sexos;2014T2;701,7
De 45 a 49 años;Valor absoluto;Ambos sexos;2014T1;726,1
De 45 a 49 años;Valor absoluto;Ambos sexos;2013T4;693,7
De 45 a 49 años;Valor absoluto;Ambos sexos;2013T3;705,4
De 45 a 49 años;Valor absoluto;Ambos sexos;2013T2;738,7
De 45 a 49 años;Valor absoluto;Ambos sexos;2013T1;733,8
De 45 a 49 años;Valor absoluto;Ambos sexos;2012T4;685,5
De 45 a 49 años;Valor absoluto;Ambos sexos;2012T3;664,8
De 45 a 49 años;Valor absoluto;Ambos sexos;2012T2;652,4
De 45 a 49 años;Valor absoluto;Ambos sexos;2012T1;625,2
De 45 a 49 años;Valor absoluto;Ambos sexos;2011T4;580,0
De 45 a 49 años;Valor absoluto;Ambos sexos;2011T3;526,4
De 45 a 49 años;Valor absoluto;Ambos sexos;2011T2;497,4
De 45 a 49 años;Valor absoluto;Ambos sexos;2011T1;527,6
De 45 a 49 años;Valor absoluto;Ambos sexos;2010T4;470,2
De 45 a 49 años;Valor absoluto;Ambos sexos;2010T3;440,4
De 45 a 49 años;Valor absoluto;Ambos sexos;2010T2;467,8
De 45 a 49 años;Valor absoluto;Ambos sexos;2010T1;469,2
De 45 a 49 años;Valor absoluto;Hombres;2025T3;117,9
De 45 a 49 años;Valor absoluto;Hombres;2025T2;126,4
De 45 a 49 años;Valor absoluto;Hombres;2025T1;144,7
De 45 a 49 años;Valor absoluto;Hombres;2024T4;132,6
De 45 a 49 años;Valor absoluto;Hombres;2024T3;125,9
De 45 a 49 años;Valor absoluto;Hombres;2024T2;139,1
De 45 a 49 años;Valor absoluto;Hombres;2024T1;152,1
De 45 a 49 años;Valor absoluto;Hombres;2023T4;136,2
De 45 a 49 años;Valor absoluto;Hombres;2023T3;126,2
De 45 a 49 años;Valor absoluto;Hombres;2023T2;126,9
De 45 a 49 años;Valor absoluto;Hombres;2023T1;161,5
De 45 a 49 años;Valor absoluto;Hombres;2022T4;162,3
De 45 a 49 años;Valor absoluto;Hombres;2022T3;139,0
De 45 a 49 años;Valor absoluto;Hombres;2022T2;134,7
De 45 a 49 años;Valor absoluto;Hombres;2022T1;145,4
De 45 a 49 años;Valor absoluto;Hombres;2021T4;146,0
De 45 a 49 años;Valor absoluto;Hombres;2021T3;164,5
De 45 a 49 años;Valor absoluto;Hombres;2021T2;160,6
De 45 a 49 años;Valor absoluto;Hombres;2021T1;182,6
De 45 a 49 años;Valor absoluto;Hombres;2020T4;181,5
De 45 a 49 años;Valor absoluto;Hombres;2020T3;193,9
De 45 a 49 años;Valor absoluto;Hombres;2020T2;180,4
De 45 a 49 años;Valor absoluto;Hombres;2020T1;176,0
De 45 a 49 años;Valor absoluto;Hombres;2019T4;170,7
De 45 a 49 años;Valor absoluto;Hombres;2019T3;165,9
De 45 a 49 años;Valor absoluto;Hombres;2019T2;164,0
De 45 a 49 años;Valor absoluto;Hombres;2019T1;176,1
De 45 a 49 años;Valor absoluto;Hombres;2018T4;162,0
De 45 a 49 años;Valor absoluto;Hombres;2018T3;175,4
De 45 a 49 años;Valor absoluto;Hombres;2018T2;205,6
De 45 a 49 años;Valor absoluto;Hombres;2018T1;211,6
De 45 a 49 años;Valor absoluto;Hombres;2017T4;214,8
De 45 a 49 años;Valor absoluto;Hombres;2017T3;209,0
De 45 a 49 años;Valor absoluto;Hombres;2017T2;217,2
De 45 a 49 años;Valor absoluto;Hombres;2017T1;246,3
De 45 a 49 años;Valor absoluto;Hombres;2016T4;234,6
De 45 a 49 años;Valor absoluto;Hombres;2016T3;247,1
De 45 a 49 años;Valor absoluto;Hombres;2016T2;243,8
De 45 a 49 años;Valor absoluto;Hombres;2016T1;290,0
De 45 a 49 años;Valor absoluto;Hombres;2015T4;282,9
De 45 a 49 años;Valor absoluto;Hombres;2015T3;290,6
De 45 a 49 años;Valor absoluto;Hombres;2015T2;302,3
De 45 a 49 años;Valor absoluto;Hombres;2015T1;325,7
De 45 a 49 años;Valor absoluto;Hombres;2014T4;329,9
De 45 a 49 años;Valor absoluto;Hombres;2014T3;331,1
De 45 a 49 años;Valor absoluto;Hombres;2014T2;360,3
De 45 a 49 años;Valor absoluto;Hombres;2014T1;381,5
De 45 a 49 años;Valor absoluto;Hombres;2013T4;365,4
De 45 a 49 años;Valor absoluto;Hombres;2013T3;373,3
De 45 a 49 años;Valor absoluto;Hombres;2013T2;379,9
De 45 a 49 años;Valor absoluto;Hombres;2013T1;383,6
De 45 a 49 años;Valor absoluto;Hombres;2012T4;353,3
De 45 a 49 años;Valor absoluto;Hombres;2012T3;347,5
De 45 a 49 años;Valor absoluto;Hombres;2012T2;345,8
De 45 a 49 años;Valor absoluto;Hombres;2012T1;330,2
De 45 a 49 años;Valor absoluto;Hombres;2011T4;296,9
De 45 a 49 años;Valor absoluto;Hombres;2011T3;277,0
De 45 a 49 años;Valor absoluto;Hombres;2011T2;262,2
De 45 a 49 años;Valor absoluto;Hombres;2011T1;263,7
De 45 a 49 años;Valor absoluto;Hombres;2010T4;235,4
De 45 a 49 años;Valor absoluto;Hombres;2010T3;229,0
De 45 a 49 años;Valor absoluto;Hombres;2010T2;235,1
De 45 a 49 años;Valor absoluto;Hombres;2010T1;245,1
De 45 a 49 años;Valor absoluto;Mujeres;2025T3;157,7
De 45 a 49 años;Valor absoluto;Mujeres;2025T2;157,9
De 45 a 49 años;Valor absoluto;Mujeres;2025T1;174,6
De 45 a 49 años;Valor absoluto;Mujeres;2024T4;155,2
De 45 a 49 años;Valor absoluto;Mujeres;2024T3;156,6
De 45 a 49 años;Valor absoluto;Mujeres;2024T2;194,0
De 45 a 49 años;Valor absoluto;Mujeres;2024T1;215,9
De 45 a 49 años;Valor absoluto;Mujeres;2023T4;192,1
De 45 a 49 años;Valor absoluto;Mujeres;2023T3;198,8
De 45 a 49 años;Valor absoluto;Mujeres;2023T2;187,1
De 45 a 49 años;Valor absoluto;Mujeres;2023T1;224,1
De 45 a 49 años;Valor absoluto;Mujeres;2022T4;212,8
De 45 a 49 años;Valor absoluto;Mujeres;2022T3;193,4
De 45 a 49 años;Valor absoluto;Mujeres;2022T2;199,3
De 45 a 49 años;Valor absoluto;Mujeres;2022T1;226,2
De 45 a 49 años;Valor absoluto;Mujeres;2021T4;227,8
De 45 a 49 años;Valor absoluto;Mujeres;2021T3;223,8
De 45 a 49 años;Valor absoluto;Mujeres;2021T2;243,9
De 45 a 49 años;Valor absoluto;Mujeres;2021T1;251,3
De 45 a 49 años;Valor absoluto;Mujeres;2020T4;252,9
De 45 a 49 años;Valor absoluto;Mujeres;2020T3;249,6
De 45 a 49 años;Valor absoluto;Mujeres;2020T2;200,2
De 45 a 49 años;Valor absoluto;Mujeres;2020T1;219,1
De 45 a 49 años;Valor absoluto;Mujeres;2019T4;214,0
De 45 a 49 años;Valor absoluto;Mujeres;2019T3;203,6
De 45 a 49 años;Valor absoluto;Mujeres;2019T2;210,0
De 45 a 49 años;Valor absoluto;Mujeres;2019T1;235,4
De 45 a 49 años;Valor absoluto;Mujeres;2018T4;217,3
De 45 a 49 años;Valor absoluto;Mujeres;2018T3;217,3
De 45 a 49 años;Valor absoluto;Mujeres;2018T2;242,5
De 45 a 49 años;Valor absoluto;Mujeres;2018T1;251,4
De 45 a 49 años;Valor absoluto;Mujeres;2017T4;246,0
De 45 a 49 años;Valor absoluto;Mujeres;2017T3;242,7
De 45 a 49 años;Valor absoluto;Mujeres;2017T2;262,9
De 45 a 49 años;Valor absoluto;Mujeres;2017T1;298,2
De 45 a 49 años;Valor absoluto;Mujeres;2016T4;279,9
De 45 a 49 años;Valor absoluto;Mujeres;2016T3;283,8
De 45 a 49 años;Valor absoluto;Mujeres;2016T2;290,7
De 45 a 49 años;Valor absoluto;Mujeres;2016T1;307,4
De 45 a 49 años;Valor absoluto;Mujeres;2015T4;315,3
De 45 a 49 años;Valor absoluto;Mujeres;2015T3;309,7
De 45 a 49 años;Valor absoluto;Mujeres;2015T2;347,1
De 45 a 49 años;Valor absoluto;Mujeres;2015T1;359,6
De 45 a 49 años;Valor absoluto;Mujeres;2014T4;320,6
De 45 a 49 años;Valor absoluto;Mujeres;2014T3;323,5
De 45 a 49 años;Valor absoluto;Mujeres;2014T2;341,4
De 45 a 49 años;Valor absoluto;Mujeres;2014T1;344,6
De 45 a 49 años;Valor absoluto;Mujeres;2013T4;328,4
De 45 a 49 años;Valor absoluto;Mujeres;2013T3;332,1
De 45 a 49 años;Valor absoluto;Mujeres;2013T2;358,8
De 45 a 49 años;Valor absoluto;Mujeres;2013T1;350,1
De 45 a 49 años;Valor absoluto;Mujeres;2012T4;332,2
De 45 a 49 años;Valor absoluto;Mujeres;2012T3;317,2
De 45 a 49 años;Valor absoluto;Mujeres;2012T2;306,5
De 45 a 49 años;Valor absoluto;Mujeres;2012T1;294,9
De 45 a 49 años;Valor absoluto;Mujeres;2011T4;283,1
De 45 a 49 años;Valor absoluto;Mujeres;2011T3;249,4
De 45 a 49 años;Valor absoluto;Mujeres;2011T2;235,3
De 45 a 49 años;Valor absoluto;Mujeres;2011T1;263,9
De 45 a 49 años;Valor absoluto;Mujeres;2010T4;234,8
De 45 a 49 años;Valor absoluto;Mujeres;2010T3;211,5
De 45 a 49 años;Valor absoluto;Mujeres;2010T2;232,7
De 45 a 49 años;Valor absoluto;Mujeres;2010T1;224,1
De 45 a 49 años;Porcentaje;Ambos sexos;2025T3;10,5
De 45 a 49 años;Porcentaje;Ambos sexos;2025T2;11,1
De 45 a 49 años;Porcentaje;Ambos sexos;2025T1;11,4
De 45 a 49 años;Porcentaje;Ambos sexos;2024T4;11,1
De 45 a 49 años;Porcentaje;Ambos sexos;2024T3;10,3
De 45 a 49 años;Porcentaje;Ambos sexos;2024T2;12,1
De 45 a 49 años;Porcentaje;Ambos sexos;2024T1;12,4
De 45 a 49 años;Porcentaje;Ambos sexos;2023T4;11,5
De 45 a 49 años;Porcentaje;Ambos sexos;2023T3;11,2
De 45 a 49 años;Porcentaje;Ambos sexos;2023T2;11,2
De 45 a 49 años;Porcentaje;Ambos sexos;2023T1;12,1
De 45 a 49 años;Porcentaje;Ambos sexos;2022T4;12,2
De 45 a 49 años;Porcentaje;Ambos sexos;2022T3;11,0
De 45 a 49 años;Porcentaje;Ambos sexos;2022T2;11,2
De 45 a 49 años;Porcentaje;Ambos sexos;2022T1;11,6
De 45 a 49 años;Porcentaje;Ambos sexos;2021T4;11,9
De 45 a 49 años;Porcentaje;Ambos sexos;2021T3;11,2
De 45 a 49 años;Porcentaje;Ambos sexos;2021T2;11,3
De 45 a 49 años;Porcentaje;Ambos sexos;2021T1;11,7
De 45 a 49 años;Porcentaje;Ambos sexos;2020T4;11,7
De 45 a 49 años;Porcentaje;Ambos sexos;2020T3;11,9
De 45 a 49 años;Porcentaje;Ambos sexos;2020T2;11,3
De 45 a 49 años;Porcentaje;Ambos sexos;2020T1;11,9
De 45 a 49 años;Porcentaje;Ambos sexos;2019T4;12,1
De 45 a 49 años;Porcentaje;Ambos sexos;2019T3;11,5
De 45 a 49 años;Porcentaje;Ambos sexos;2019T2;11,6
De 45 a 49 años;Porcentaje;Ambos sexos;2019T1;12,3
De 45 a 49 años;Porcentaje;Ambos sexos;2018T4;11,5
De 45 a 49 años;Porcentaje;Ambos sexos;2018T3;11,8
De 45 a 49 años;Porcentaje;Ambos sexos;2018T2;12,8
De 45 a 49 años;Porcentaje;Ambos sexos;2018T1;12,2
De 45 a 49 años;Porcentaje;Ambos sexos;2017T4;12,2
De 45 a 49 años;Porcentaje;Ambos sexos;2017T3;12,1
De 45 a 49 años;Porcentaje;Ambos sexos;2017T2;12,3
De 45 a 49 años;Porcentaje;Ambos sexos;2017T1;12,8
De 45 a 49 años;Porcentaje;Ambos sexos;2016T4;12,1
De 45 a 49 años;Porcentaje;Ambos sexos;2016T3;12,3
De 45 a 49 años;Porcentaje;Ambos sexos;2016T2;11,7
De 45 a 49 años;Porcentaje;Ambos sexos;2016T1;12,5
De 45 a 49 años;Porcentaje;Ambos sexos;2015T4;12,5
De 45 a 49 años;Porcentaje;Ambos sexos;2015T3;12,4
De 45 a 49 años;Porcentaje;Ambos sexos;2015T2;12,6
De 45 a 49 años;Porcentaje;Ambos sexos;2015T1;12,6
De 45 a 49 años;Porcentaje;Ambos sexos;2014T4;11,9
De 45 a 49 años;Porcentaje;Ambos sexos;2014T3;12,1
De 45 a 49 años;Porcentaje;Ambos sexos;2014T2;12,5
De 45 a 49 años;Porcentaje;Ambos sexos;2014T1;12,2
De 45 a 49 años;Porcentaje;Ambos sexos;2013T4;11,7
De 45 a 49 años;Porcentaje;Ambos sexos;2013T3;11,9
De 45 a 49 años;Porcentaje;Ambos sexos;2013T2;12,2
De 45 a 49 años;Porcentaje;Ambos sexos;2013T1;11,7
De 45 a 49 años;Porcentaje;Ambos sexos;2012T4;11,4
De 45 a 49 años;Porcentaje;Ambos sexos;2012T3;11,4
De 45 a 49 años;Porcentaje;Ambos sexos;2012T2;11,4
De 45 a 49 años;Porcentaje;Ambos sexos;2012T1;11,0
De 45 a 49 años;Porcentaje;Ambos sexos;2011T4;11,0
De 45 a 49 años;Porcentaje;Ambos sexos;2011T3;10,5
De 45 a 49 años;Porcentaje;Ambos sexos;2011T2;10,3
De 45 a 49 años;Porcentaje;Ambos sexos;2011T1;10,7
De 45 a 49 años;Porcentaje;Ambos sexos;2010T4;10,0
De 45 a 49 años;Porcentaje;Ambos sexos;2010T3;9,6
De 45 a 49 años;Porcentaje;Ambos sexos;2010T2;10,0
De 45 a 49 años;Porcentaje;Ambos sexos;2010T1;10,2
De 45 a 49 años;Porcentaje;Hombres;2025T3;10,0
De 45 a 49 años;Porcentaje;Hombres;2025T2;10,5
De 45 a 49 años;Porcentaje;Hombres;2025T1;11,0
De 45 a 49 años;Porcentaje;Hombres;2024T4;10,8
De 45 a 49 años;Porcentaje;Hombres;2024T3;9,7
De 45 a 49 años;Porcentaje;Hombres;2024T2;10,7
De 45 a 49 años;Porcentaje;Hombres;2024T1;10,8
De 45 a 49 años;Porcentaje;Hombres;2023T4;10,2
De 45 a 49 años;Porcentaje;Hombres;2023T3;9,5
De 45 a 49 años;Porcentaje;Hombres;2023T2;9,7
De 45 a 49 años;Porcentaje;Hombres;2023T1;11,0
De 45 a 49 años;Porcentaje;Hombres;2022T4;11,3
De 45 a 49 años;Porcentaje;Hombres;2022T3;10,2
De 45 a 49 años;Porcentaje;Hombres;2022T2;9,6
De 45 a 49 años;Porcentaje;Hombres;2022T1;9,6
De 45 a 49 años;Porcentaje;Hombres;2021T4;9,9
De 45 a 49 años;Porcentaje;Hombres;2021T3;10,0
De 45 a 49 años;Porcentaje;Hombres;2021T2;9,6
De 45 a 49 años;Porcentaje;Hombres;2021T1;10,5
De 45 a 49 años;Porcentaje;Hombres;2020T4;10,5
De 45 a 49 años;Porcentaje;Hombres;2020T3;11,0
De 45 a 49 años;Porcentaje;Hombres;2020T2;10,8
De 45 a 49 años;Porcentaje;Hombres;2020T1;11,3
De 45 a 49 años;Porcentaje;Hombres;2019T4;11,3
De 45 a 49 años;Porcentaje;Hombres;2019T3;11,1
De 45 a 49 años;Porcentaje;Hombres;2019T2;10,7
De 45 a 49 años;Porcentaje;Hombres;2019T1;11,2
De 45 a 49 años;Porcentaje;Hombres;2018T4;10,3
De 45 a 49 años;Porcentaje;Hombres;2018T3;10,9
De 45 a 49 años;Porcentaje;Hombres;2018T2;12,3
De 45 a 49 años;Porcentaje;Hombres;2018T1;11,5
De 45 a 49 años;Porcentaje;Hombres;2017T4;11,8
De 45 a 49 años;Porcentaje;Hombres;2017T3;11,5
De 45 a 49 años;Porcentaje;Hombres;2017T2;11,4
De 45 a 49 años;Porcentaje;Hombres;2017T1;11,8
De 45 a 49 años;Porcentaje;Hombres;2016T4;11,2
De 45 a 49 años;Porcentaje;Hombres;2016T3;11,6
De 45 a 49 años;Porcentaje;Hombres;2016T2;10,8
De 45 a 49 años;Porcentaje;Hombres;2016T1;12,2
De 45 a 49 años;Porcentaje;Hombres;2015T4;11,8
De 45 a 49 años;Porcentaje;Hombres;2015T3;11,8
De 45 a 49 años;Porcentaje;Hombres;2015T2;11,7
De 45 a 49 años;Porcentaje;Hombres;2015T1;11,6
De 45 a 49 años;Porcentaje;Hombres;2014T4;11,7
De 45 a 49 años;Porcentaje;Hombres;2014T3;11,9
De 45 a 49 años;Porcentaje;Hombres;2014T2;12,3
De 45 a 49 años;Porcentaje;Hombres;2014T1;12,2
De 45 a 49 años;Porcentaje;Hombres;2013T4;11,8
De 45 a 49 años;Porcentaje;Hombres;2013T3;11,8
De 45 a 49 años;Porcentaje;Hombres;2013T2;11,9
De 45 a 49 años;Porcentaje;Hombres;2013T1;11,4
De 45 a 49 años;Porcentaje;Hombres;2012T4;11,0
De 45 a 49 años;Porcentaje;Hombres;2012T3;11,1
De 45 a 49 años;Porcentaje;Hombres;2012T2;11,1
De 45 a 49 años;Porcentaje;Hombres;2012T1;10,8
De 45 a 49 años;Porcentaje;Hombres;2011T4;10,4
De 45 a 49 años;Porcentaje;Hombres;2011T3;10,3
De 45 a 49 años;Porcentaje;Hombres;2011T2;10,0
De 45 a 49 años;Porcentaje;Hombres;2011T1;10,0
De 45 a 49 años;Porcentaje;Hombres;2010T4;9,2
De 45 a 49 años;Porcentaje;Hombres;2010T3;9,2
De 45 a 49 años;Porcentaje;Hombres;2010T2;9,2
De 45 a 49 años;Porcentaje;Hombres;2010T1;9,6
De 45 a 49 años;Porcentaje;Mujeres;2025T3;11,0
De 45 a 49 años;Porcentaje;Mujeres;2025T2;11,7
De 45 a 49 años;Porcentaje;Mujeres;2025T1;11,8
De 45 a 49 años;Porcentaje;Mujeres;2024T4;11,4
De 45 a 49 años;Porcentaje;Mujeres;2024T3;10,8
De 45 a 49 años;Porcentaje;Mujeres;2024T2;13,3
De 45 a 49 años;Porcentaje;Mujeres;2024T1;13,8
De 45 a 49 años;Porcentaje;Mujeres;2023T4;12,6
De 45 a 49 años;Porcentaje;Mujeres;2023T3;12,7
De 45 a 49 años;Porcentaje;Mujeres;2023T2;12,5
De 45 a 49 años;Porcentaje;Mujeres;2023T1;13,0
De 45 a 49 años;Porcentaje;Mujeres;2022T4;13,0
De 45 a 49 años;Porcentaje;Mujeres;2022T3;11,7
De 45 a 49 años;Porcentaje;Mujeres;2022T2;12,5
De 45 a 49 años;Porcentaje;Mujeres;2022T1;13,3
De 45 a 49 años;Porcentaje;Mujeres;2021T4;13,7
De 45 a 49 años;Porcentaje;Mujeres;2021T3;12,3
De 45 a 49 años;Porcentaje;Mujeres;2021T2;12,8
De 45 a 49 años;Porcentaje;Mujeres;2021T1;12,8
De 45 a 49 años;Porcentaje;Mujeres;2020T4;12,7
De 45 a 49 años;Porcentaje;Mujeres;2020T3;12,7
De 45 a 49 años;Porcentaje;Mujeres;2020T2;11,8
De 45 a 49 años;Porcentaje;Mujeres;2020T1;12,5
De 45 a 49 años;Porcentaje;Mujeres;2019T4;12,7
De 45 a 49 años;Porcentaje;Mujeres;2019T3;11,9
De 45 a 49 años;Porcentaje;Mujeres;2019T2;12,4
De 45 a 49 años;Porcentaje;Mujeres;2019T1;13,2
De 45 a 49 años;Porcentaje;Mujeres;2018T4;12,6
De 45 a 49 años;Porcentaje;Mujeres;2018T3;12,7
De 45 a 49 años;Porcentaje;Mujeres;2018T2;13,4
De 45 a 49 años;Porcentaje;Mujeres;2018T1;12,9
De 45 a 49 años;Porcentaje;Mujeres;2017T4;12,6
De 45 a 49 años;Porcentaje;Mujeres;2017T3;12,6
De 45 a 49 años;Porcentaje;Mujeres;2017T2;13,1
De 45 a 49 años;Porcentaje;Mujeres;2017T1;13,8
De 45 a 49 años;Porcentaje;Mujeres;2016T4;13,1
De 45 a 49 años;Porcentaje;Mujeres;2016T3;12,9
De 45 a 49 años;Porcentaje;Mujeres;2016T2;12,5
De 45 a 49 años;Porcentaje;Mujeres;2016T1;12,7
De 45 a 49 años;Porcentaje;Mujeres;2015T4;13,2
De 45 a 49 años;Porcentaje;Mujeres;2015T3;12,9
De 45 a 49 años;Porcentaje;Mujeres;2015T2;13,6
De 45 a 49 años;Porcentaje;Mujeres;2015T1;13,6
De 45 a 49 años;Porcentaje;Mujeres;2014T4;12,2
De 45 a 49 años;Porcentaje;Mujeres;2014T3;12,3
De 45 a 49 años;Porcentaje;Mujeres;2014T2;12,7
De 45 a 49 años;Porcentaje;Mujeres;2014T1;12,2
De 45 a 49 años;Porcentaje;Mujeres;2013T4;11,6
De 45 a 49 años;Porcentaje;Mujeres;2013T3;11,9
De 45 a 49 años;Porcentaje;Mujeres;2013T2;12,6
De 45 a 49 años;Porcentaje;Mujeres;2013T1;12,0
De 45 a 49 años;Porcentaje;Mujeres;2012T4;11,8
De 45 a 49 años;Porcentaje;Mujeres;2012T3;11,8
De 45 a 49 años;Porcentaje;Mujeres;2012T2;11,8
De 45 a 49 años;Porcentaje;Mujeres;2012T1;11,3
De 45 a 49 años;Porcentaje;Mujeres;2011T4;11,7
De 45 a 49 años;Porcentaje;Mujeres;2011T3;10,8
De 45 a 49 años;Porcentaje;Mujeres;2011T2;10,6
De 45 a 49 años;Porcentaje;Mujeres;2011T1;11,6
De 45 a 49 años;Porcentaje;Mujeres;2010T4;10,9
De 45 a 49 años;Porcentaje;Mujeres;2010T3;10,1
De 45 a 49 años;Porcentaje;Mujeres;2010T2;11,0
De 45 a 49 años;Porcentaje;Mujeres;2010T1;10,9
De 50 a 54 años;Valor absoluto;Ambos sexos;2025T3;275,5
De 50 a 54 años;Valor absoluto;Ambos sexos;2025T2;282,5
De 50 a 54 años;Valor absoluto;Ambos sexos;2025T1;297,7
De 50 a 54 años;Valor absoluto;Ambos sexos;2024T4;294,4
De 50 a 54 años;Valor absoluto;Ambos sexos;2024T3;302,3
De 50 a 54 años;Valor absoluto;Ambos sexos;2024T2;312,9
De 50 a 54 años;Valor absoluto;Ambos sexos;2024T1;322,6
De 50 a 54 años;Valor absoluto;Ambos sexos;2023T4;304,3
De 50 a 54 años;Valor absoluto;Ambos sexos;2023T3;315,5
De 50 a 54 años;Valor absoluto;Ambos sexos;2023T2;308,9
De 50 a 54 años;Valor absoluto;Ambos sexos;2023T1;365,5
De 50 a 54 años;Valor absoluto;Ambos sexos;2022T4;380,0
De 50 a 54 años;Valor absoluto;Ambos sexos;2022T3;372,2
De 50 a 54 años;Valor absoluto;Ambos sexos;2022T2;373,8
De 50 a 54 años;Valor absoluto;Ambos sexos;2022T1;406,0
De 50 a 54 años;Valor absoluto;Ambos sexos;2021T4;367,2
De 50 a 54 años;Valor absoluto;Ambos sexos;2021T3;375,0
De 50 a 54 años;Valor absoluto;Ambos sexos;2021T2;382,4
De 50 a 54 años;Valor absoluto;Ambos sexos;2021T1;393,4
De 50 a 54 años;Valor absoluto;Ambos sexos;2020T4;394,5
De 50 a 54 años;Valor absoluto;Ambos sexos;2020T3;368,0
De 50 a 54 años;Valor absoluto;Ambos sexos;2020T2;343,5
De 50 a 54 años;Valor absoluto;Ambos sexos;2020T1;371,5
De 50 a 54 años;Valor absoluto;Ambos sexos;2019T4;358,2
De 50 a 54 años;Valor absoluto;Ambos sexos;2019T3;367,9
De 50 a 54 años;Valor absoluto;Ambos sexos;2019T2;388,1
De 50 a 54 años;Valor absoluto;Ambos sexos;2019T1;398,0
De 50 a 54 años;Valor absoluto;Ambos sexos;2018T4;382,1
De 50 a 54 años;Valor absoluto;Ambos sexos;2018T3;375,9
De 50 a 54 años;Valor absoluto;Ambos sexos;2018T2;397,8
De 50 a 54 años;Valor absoluto;Ambos sexos;2018T1;446,1
De 50 a 54 años;Valor absoluto;Ambos sexos;2017T4;424,7
De 50 a 54 años;Valor absoluto;Ambos sexos;2017T3;410,3
De 50 a 54 años;Valor absoluto;Ambos sexos;2017T2;443,9
De 50 a 54 años;Valor absoluto;Ambos sexos;2017T1;482,6
De 50 a 54 años;Valor absoluto;Ambos sexos;2016T4;470,3
De 50 a 54 años;Valor absoluto;Ambos sexos;2016T3;474,2
De 50 a 54 años;Valor absoluto;Ambos sexos;2016T2;513,5
De 50 a 54 años;Valor absoluto;Ambos sexos;2016T1;510,2
De 50 a 54 años;Valor absoluto;Ambos sexos;2015T4;497,0
De 50 a 54 años;Valor absoluto;Ambos sexos;2015T3;512,7
De 50 a 54 años;Valor absoluto;Ambos sexos;2015T2;537,7
De 50 a 54 años;Valor absoluto;Ambos sexos;2015T1;557,7
De 50 a 54 años;Valor absoluto;Ambos sexos;2014T4;553,2
De 50 a 54 años;Valor absoluto;Ambos sexos;2014T3;539,6
De 50 a 54 años;Valor absoluto;Ambos sexos;2014T2;561,5
De 50 a 54 años;Valor absoluto;Ambos sexos;2014T1;577,2
De 50 a 54 años;Valor absoluto;Ambos sexos;2013T4;584,8
De 50 a 54 años;Valor absoluto;Ambos sexos;2013T3;564,9
De 50 a 54 años;Valor absoluto;Ambos sexos;2013T2;546,2
De 50 a 54 años;Valor absoluto;Ambos sexos;2013T1;553,7
De 50 a 54 años;Valor absoluto;Ambos sexos;2012T4;520,3
De 50 a 54 años;Valor absoluto;Ambos sexos;2012T3;521,9
De 50 a 54 años;Valor absoluto;Ambos sexos;2012T2;498,9
De 50 a 54 años;Valor absoluto;Ambos sexos;2012T1;492,8
De 50 a 54 años;Valor absoluto;Ambos sexos;2011T4;433,5
De 50 a 54 años;Valor absoluto;Ambos sexos;2011T3;411,9
De 50 a 54 años;Valor absoluto;Ambos sexos;2011T2;386,3
De 50 a 54 años;Valor absoluto;Ambos sexos;2011T1;385,9
De 50 a 54 años;Valor absoluto;Ambos sexos;2010T4;377,3
De 50 a 54 años;Valor absoluto;Ambos sexos;2010T3;332,9
De 50 a 54 años;Valor absoluto;Ambos sexos;2010T2;358,5
De 50 a 54 años;Valor absoluto;Ambos sexos;2010T1;338,2
De 50 a 54 años;Valor absoluto;Hombres;2025T3;96,5
De 50 a 54 años;Valor absoluto;Hombres;2025T2;118,8
De 50 a 54 años;Valor absoluto;Hombres;2025T1;124,9
De 50 a 54 años;Valor absoluto;Hombres;2024T4;128,4
De 50 a 54 años;Valor absoluto;Hombres;2024T3;131,9
De 50 a 54 años;Valor absoluto;Hombres;2024T2;135,5
De 50 a 54 años;Valor absoluto;Hombres;2024T1;141,7
De 50 a 54 años;Valor absoluto;Hombres;2023T4;138,2
De 50 a 54 años;Valor absoluto;Hombres;2023T3;132,9
De 50 a 54 años;Valor absoluto;Hombres;2023T2;134,5
De 50 a 54 años;Valor absoluto;Hombres;2023T1;147,4
